Region,County,Gender,Age,Grade,Disability,Residence,SchoolType
Central,Machakos,Female,5,Pre-School,Visual,Rural,Integrated
Nairobi,Kwale,Female,9,Three,Physical,Urban,Integrated
North Eastern,Kilifi,Male,8,Two,Hearing,Urban,Regular
Central,Kilifi,Female,7,Three,Visual,Urban,Integrated
Central,Marsabit,Female,10,Two,Hearing,Urban,Regular
Rift Valley,Nyamira,Female,7,Two,Visual,Urban,Regular
North Eastern,Tharaka Nithi,Female,8,One,Autism,Rural,Integrated
North Eastern,Kwale,Male,8,One,Visual,Urban,Regular
Coast,Tana River,Female,7,Two,Physical,Urban,Integrated
Eastern,Busia,Male,8,One,Autism,Rural,Integrated
Nairobi,Tana River,Female,7,Three,Visual,Urban,Special
Nyanza,Kakamega,Female,7,Two,Hearing,Urban,Special
Nairobi,Turkana,Male,10,Two,Hearing,Rural,Regular
Eastern,Laikipia,Female,8,One,Visual,Urban,Regular
Western,Nairobi,Female,8,Three,Physical,Rural,Special
North Eastern,Kajiado,Female,9,One,Hearing,Urban,Regular
Nairobi,Kisii,Male,9,Three,Hearing,Urban,Regular
Western,Nyandarua,Male,7,Two,Physical,Urban,Integrated
Nairobi,Mandera,Male,8,One,Visual,Urban,Integrated
Rift Valley,Nyamira,Male,10,Three,Hearing,Urban,Integrated
Rift Valley,Siaya,Male,9,Three,Autism,Urban,Regular
North Eastern,Turkana,Male,9,Three,Visual,Urban,Regular
Nairobi,Kwale,Male,6,One,Hearing,Urban,Regular
Coast,Kiambu,Male,6,Two,Physical,Rural,Integrated
North Eastern,Nyamira,Male,10,Two,Hearing,Urban,Regular
Eastern,Makueni,Male,10,Two,Physical,Urban,Integrated
North Eastern,Kitui,Female,5,Pre-School,Physical,Urban,Regular
Nyanza,Garissa,Female,9,Two,Visual,Rural,Integrated
Nyanza,Nakuru,Female,6,Two,Hearing,Urban,Integrated
Western,Makueni,Male,9,Three,Physical,Urban,Integrated
North Eastern,Nyandarua,Female,7,Three,Autism,Rural,Regular
Western,West Pokot,Male,5,Pre-School,Hearing,Rural,Integrated
Eastern,Homa Bay,Female,9,One,Visual,Rural,Regular
Nyanza,Kajiado,Female,8,Two,Hearing,Rural,Regular
Central,Makueni,Male,9,One,Hearing,Urban,Integrated
Nairobi,Kakamega,Female,5,Pre-School,Physical,Urban,Regular
Western,Nairobi,Male,8,Three,Physical,Urban,Integrated
North Eastern,Kajiado,Male,5,Pre-School,Visual,Urban,Regular
Rift Valley,Homa Bay,Male,8,One,Hearing,Urban,Integrated
Eastern,Isiolo,Female,10,Two,Visual,Urban,Regular
Coast,Meru,Female,5,Pre-School,Autism,Urban,Integrated
Eastern,Mombasa,Male,7,Three,Visual,Rural,Regular
Western,Nyandarua,Male,9,Three,Hearing,Urban,Integrated
North Eastern,Nairobi,Male,9,Three,Visual,Rural,Regular
Nairobi,Kiambu,Male,8,Two,Hearing,Urban,Regular
North Eastern,Kiambu,Female,9,Three,Visual,Urban,Regular
Rift Valley,Tharaka Nithi,Female,8,Three,Physical,Urban,Integrated
North Eastern,Trans Nzoia,Female,7,Three,Visual,Urban,Special
Nyanza,Uasin Gishu,Male,6,Three,Physical,Urban,Integrated
Central,Kilifi,Male,9,Three,Hearing,Urban,Regular
Eastern,Wajir,Female,9,One,Physical,Urban,Integrated
Rift Valley,Isiolo,Female,9,One,Hearing,Urban,Regular
Coast,Uasin Gishu,Female,7,Three,Autism,Urban,Integrated
Eastern,Mandera,Male,5,Pre-School,Physical,Urban,Regular
Eastern,Machakos,Male,9,Two,Visual,Urban,Regular
Central,Vihiga,Female,9,Three,Hearing,Urban,Regular
North Eastern,Kajiado,Male,9,Three,Visual,Urban,Special
Nyanza,Samburu,Male,5,Pre-School,Physical,Urban,Integrated
Eastern,Nyandarua,Female,5,Pre-School,Autism,Urban,Integrated
Western,Garissa,Male,8,Two,Visual,Urban,Regular
Nyanza,Laikipia,Female,10,Two,Physical,Urban,Regular
Rift Valley,Wajir,Male,5,Pre-School,Autism,Urban,Regular
North Eastern,Machakos,Female,7,Three,Visual,Urban,Special
Central,Bungoma,Female,7,One,Physical,Urban,Regular
Nairobi,Kisii,Male,7,Three,Hearing,Urban,Regular
North Eastern,Nairobi,Female,5,Pre-School,Visual,Urban,Integrated
Eastern,Kilifi,Female,5,Pre-School,Hearing,Urban,Regular
Central,Narok,Female,9,One,Physical,Urban,Regular
Western,Migori,Female,10,One,Visual,Urban,Special
Coast,Garissa,Female,8,One,Visual,Rural,Integrated
Rift Valley,Garissa,Male,7,One,Hearing,Urban,Special
Nyanza,Siaya,Male,9,Three,Visual,Urban,Integrated
Nyanza,Marsabit,Female,6,Two,Visual,Rural,Regular
Rift Valley,Kwale,Male,8,Two,Visual,Urban,Regular
Coast,Kisii,Female,7,Two,Physical,Rural,Special
Nyanza,Siaya,Female,8,One,Visual,Urban,Integrated
Coast,Makueni,Female,9,Two,Visual,Urban,Special
Nairobi,Narok,Male,8,One,Hearing,Urban,Regular
Nairobi,Kericho,Female,8,Three,Physical,Urban,Integrated
Western,Baringo,Female,9,Three,Hearing,Urban,Regular
Central,Lamu,Female,10,Two,Physical,Urban,Special
Nairobi,Kilifi,Male,10,One,Physical,Urban,Integrated
Eastern,Vihiga,Female,7,Two,Hearing,Urban,Integrated
Nairobi,Kisumu,Male,8,Three,Visual,Urban,Integrated
Central,Mandera,Female,10,Three,Visual,Rural,Regular
Western,Machakos,Male,6,Three,Hearing,Urban,Integrated
Rift Valley,Murang'a,Male,7,One,Hearing,Urban,Regular
Nyanza,Garissa,Male,7,Three,Autism,Urban,Regular
North Eastern,Kilifi,Male,5,Pre-School,Physical,Urban,Integrated
Coast,Mombasa,Female,10,One,Visual,Urban,Integrated
Central,Kilifi,Male,10,Two,Autism,Rural,Integrated
Rift Valley,Vihiga,Female,7,One,Visual,Urban,Regular
North Eastern,Garissa,Female,8,Three,Hearing,Urban,Integrated
Coast,Kirinyaga,Female,10,Two,Hearing,Rural,Regular
Rift Valley,Kisumu,Female,6,Three,Physical,Urban,Integrated
Central,Bomet,Male,6,One,Physical,Urban,Integrated
Nyanza,Trans Nzoia,Male,8,Two,Physical,Urban,Regular
Coast,Meru,Male,6,One,Visual,Urban,Integrated
Eastern,Wajir,Male,8,Three,Physical,Rural,Regular
Coast,Kitui,Female,9,Two,Visual,Urban,Integrated
Eastern,Wajir,Male,7,One,Visual,Rural,Regular
North Eastern,Kitui,Male,5,Pre-School,Physical,Urban,Regular
Coast,Kiambu,Male,9,Three,Physical,Urban,Regular
North Eastern,Tharaka Nithi,Female,5,Pre-School,Visual,Rural,Regular
Rift Valley,Elgeyo Marakwet,Male,9,Two,Physical,Rural,Integrated
Coast,Migori,Female,6,Three,Physical,Urban,Integrated
Rift Valley,Kitui,Female,7,One,Visual,Urban,Integrated
Nairobi,Lamu,Male,5,Pre-School,Hearing,Rural,Regular
Rift Valley,West Pokot,Female,10,One,Hearing,Urban,Regular
North Eastern,Kwale,Female,5,Pre-School,Visual,Urban,Regular
North Eastern,Vihiga,Female,9,Three,Visual,Rural,Integrated
Rift Valley,Tana River,Male,8,Three,Autism,Urban,Regular
Eastern,Bomet,Female,10,One,Physical,Rural,Regular
Rift Valley,Nyamira,Male,10,One,Physical,Urban,Regular
Rift Valley,Murang'a,Male,6,Two,Hearing,Rural,Special
Nairobi,Baringo,Male,7,One,Autism,Urban,Integrated
North Eastern,Garissa,Female,5,Pre-School,Physical,Urban,Regular
Central,Kakamega,Male,9,Two,Physical,Urban,Special
Nairobi,Nyandarua,Female,6,Two,Physical,Urban,Regular
Coast,Kericho,Female,6,Three,Hearing,Urban,Regular
Rift Valley,Isiolo,Female,7,Two,Physical,Rural,Integrated
Coast,Uasin Gishu,Male,7,One,Physical,Urban,Integrated
North Eastern,Kisumu,Male,8,One,Hearing,Urban,Regular
Coast,West Pokot,Female,6,Two,Physical,Urban,Integrated
Eastern,Machakos,Male,7,One,Visual,Urban,Special
North Eastern,Kakamega,Female,8,Three,Visual,Urban,Regular
Rift Valley,Turkana,Female,8,Two,Physical,Urban,Regular
Rift Valley,Kisii,Female,8,Three,Visual,Urban,Integrated
Coast,Busia,Female,9,Two,Visual,Urban,Integrated
Eastern,Bomet,Male,9,Two,Visual,Rural,Regular
Eastern,Migori,Female,7,One,Physical,Urban,Special
Nairobi,Nyandarua,Female,8,One,Physical,Urban,Integrated
Central,Laikipia,Female,8,Two,Hearing,Urban,Special
Nyanza,Kilifi,Female,5,Pre-School,Visual,Urban,Regular
Nairobi,Kilifi,Female,6,One,Physical,Urban,Regular
Rift Valley,Kirinyaga,Male,6,Three,Hearing,Rural,Regular
Rift Valley,Mombasa,Female,8,Three,Visual,Rural,Special
Coast,Kirinyaga,Female,5,Pre-School,Visual,Rural,Regular
Nairobi,Migori,Male,8,Three,Hearing,Urban,Integrated
Coast,Kilifi,Male,10,Two,Autism,Rural,Regular
Nyanza,Vihiga,Female,10,One,Hearing,Urban,Regular
Eastern,Migori,Male,7,Three,Physical,Rural,Integrated
Nairobi,Makueni,Female,5,Pre-School,Visual,Rural,Integrated
Rift Valley,Samburu,Female,9,One,Visual,Urban,Integrated
Nyanza,Nyeri,Male,7,One,Physical,Urban,Integrated
Coast,Kiambu,Male,10,One,Visual,Urban,Integrated
Coast,Bomet,Male,10,One,Hearing,Rural,Integrated
Central,Garissa,Male,7,Two,Hearing,Urban,Special
Nyanza,Nyamira,Female,5,Pre-School,Visual,Urban,Integrated
Rift Valley,Meru,Male,9,One,Hearing,Urban,Integrated
Eastern,Lamu,Female,6,Three,Physical,Rural,Regular
North Eastern,Tharaka Nithi,Female,5,Pre-School,Physical,Urban,Integrated
Coast,Kitui,Female,6,Three,Physical,Rural,Special
Nairobi,Nakuru,Male,5,Pre-School,Hearing,Urban,Integrated
Nairobi,Nyeri,Female,9,One,Visual,Urban,Regular
Rift Valley,Kirinyaga,Female,8,One,Autism,Rural,Integrated
North Eastern,Lamu,Female,8,Two,Physical,Urban,Integrated
Nyanza,Kiambu,Female,10,Two,Physical,Urban,Special
Rift Valley,Tana River,Male,10,Two,Visual,Rural,Regular
Western,Kitui,Female,5,Pre-School,Physical,Urban,Integrated
Central,Trans Nzoia,Male,10,Two,Physical,Urban,Special
North Eastern,Isiolo,Male,6,Three,Physical,Urban,Integrated
Rift Valley,Laikipia,Female,10,Three,Physical,Urban,Integrated
Central,Vihiga,Male,5,Pre-School,Hearing,Urban,Regular
Coast,Tana River,Female,8,One,Physical,Urban,Regular
Central,Kakamega,Male,7,Two,Visual,Urban,Regular
Eastern,Tana River,Female,9,Three,Hearing,Urban,Regular
Rift Valley,Kakamega,Female,9,Three,Physical,Rural,Special
Central,Trans Nzoia,Male,5,Pre-School,Physical,Urban,Integrated
Eastern,Isiolo,Male,10,One,Physical,Urban,Integrated
Nyanza,Taita Taveta,Female,6,Three,Hearing,Urban,Special
Western,Lamu,Male,8,Two,Visual,Urban,Integrated
Nyanza,Nairobi,Male,10,One,Visual,Urban,Integrated
Central,Homa Bay,Male,8,One,Hearing,Rural,Integrated
North Eastern,Mandera,Male,5,Pre-School,Autism,Urban,Regular
Eastern,Nandi,Male,6,One,Hearing,Urban,Integrated
Western,Kericho,Female,10,Three,Hearing,Rural,Special
Eastern,Nyeri,Male,9,One,Visual,Rural,Integrated
Coast,Embu,Male,5,Pre-School,Hearing,Rural,Regular
Rift Valley,Tana River,Male,8,One,Hearing,Urban,Regular
Nyanza,Machakos,Male,10,Two,Physical,Urban,Integrated
Nyanza,Nyamira,Male,7,One,Physical,Urban,Regular
Coast,Marsabit,Female,7,Three,Visual,Urban,Regular
Western,Nakuru,Female,8,Three,Physical,Urban,Integrated
North Eastern,Kiambu,Male,8,One,Visual,Rural,Regular
Nyanza,Vihiga,Male,8,One,Visual,Urban,Regular
Eastern,Lamu,Female,8,Three,Hearing,Urban,Special
Nyanza,Kisii,Female,5,Pre-School,Visual,Rural,Regular
Central,Turkana,Female,5,Pre-School,Physical,Urban,Regular
Central,Nandi,Male,10,Three,Hearing,Urban,Regular
Western,Meru,Female,8,Three,Autism,Urban,Integrated
Central,Tana River,Female,8,Three,Visual,Urban,Integrated
North Eastern,Embu,Female,7,One,Autism,Rural,Regular
Nyanza,Turkana,Male,10,Two,Hearing,Rural,Regular
Coast,Turkana,Male,6,One,Visual,Rural,Integrated
Rift Valley,Nairobi,Female,6,Two,Physical,Urban,Integrated
Nairobi,Nyeri,Female,7,Two,Hearing,Rural,Regular
Rift Valley,Isiolo,Male,7,Three,Physical,Urban,Integrated
Nyanza,Narok,Male,5,Pre-School,Physical,Urban,Integrated
Coast,Makueni,Male,10,Three,Hearing,Rural,Integrated
Western,Makueni,Male,6,Three,Visual,Urban,Regular
Eastern,Taita Taveta,Male,6,Three,Physical,Urban,Regular
Nairobi,Busia,Female,6,One,Hearing,Urban,Integrated
Nairobi,Kwale,Female,9,One,Physical,Rural,Special
North Eastern,Kisii,Male,10,Three,Visual,Urban,Regular
Western,Kisumu,Male,6,One,Visual,Urban,Integrated
North Eastern,Homa Bay,Female,10,Two,Visual,Rural,Regular
Western,Makueni,Female,10,One,Physical,Urban,Regular
North Eastern,Baringo,Female,5,Pre-School,Visual,Rural,Regular
Nyanza,Lamu,Male,6,Three,Physical,Urban,Special
Nyanza,Bungoma,Female,5,Pre-School,Hearing,Rural,Integrated
Rift Valley,Machakos,Female,10,One,Physical,Rural,Regular
Coast,Samburu,Male,9,Three,Visual,Urban,Integrated
Rift Valley,Siaya,Female,10,Three,Physical,Urban,Integrated
Central,Homa Bay,Male,6,One,Hearing,Urban,Regular
Central,Bungoma,Female,5,Pre-School,Physical,Urban,Special
Coast,Busia,Female,8,Three,Physical,Rural,Regular
Nyanza,Mombasa,Female,10,Two,Visual,Urban,Integrated
Nyanza,Embu,Male,7,Two,Physical,Rural,Integrated
Rift Valley,Isiolo,Female,7,Two,Hearing,Rural,Integrated
Central,Elgeyo Marakwet,Female,7,Two,Visual,Urban,Special
Nairobi,Kisumu,Female,6,One,Visual,Urban,Special
Rift Valley,Kitui,Female,10,Two,Physical,Urban,Integrated
Nairobi,Nyamira,Male,5,Pre-School,Physical,Urban,Integrated
North Eastern,Garissa,Male,10,Two,Visual,Urban,Integrated
Nairobi,Narok,Male,7,Two,Hearing,Urban,Special
Rift Valley,Tana River,Male,9,Two,Visual,Urban,Regular
Central,Tharaka Nithi,Male,7,Three,Hearing,Rural,Special
Coast,Kajiado,Female,8,Three,Visual,Urban,Regular
Rift Valley,Kirinyaga,Female,9,Three,Visual,Urban,Integrated
Coast,Mombasa,Female,7,One,Physical,Urban,Regular
Rift Valley,West Pokot,Female,9,One,Physical,Urban,Integrated
Nairobi,Bomet,Male,5,Pre-School,Visual,Urban,Regular
Nairobi,Vihiga,Male,10,Two,Physical,Urban,Integrated
Western,Mandera,Male,7,One,Hearing,Urban,Integrated
Nairobi,Migori,Female,8,Two,Visual,Urban,Integrated
Nyanza,Baringo,Male,10,Three,Physical,Urban,Integrated
Central,Vihiga,Male,10,One,Visual,Urban,Regular
Western,Trans Nzoia,Female,10,Two,Visual,Rural,Regular
Nyanza,Lamu,Female,5,Pre-School,Physical,Urban,Regular
Nyanza,Murang'a,Female,7,Three,Visual,Urban,Integrated
Coast,Tana River,Female,10,One,Visual,Urban,Integrated
Coast,Nairobi,Male,9,Two,Hearing,Urban,Regular
Nairobi,Nandi,Male,5,Pre-School,Visual,Urban,Special
Nyanza,Uasin Gishu,Male,6,One,Autism,Urban,Regular
Central,Baringo,Male,8,Two,Hearing,Urban,Regular
Eastern,Kitui,Male,7,Three,Physical,Urban,Regular
Central,Kitui,Male,5,Pre-School,Physical,Urban,Integrated
Eastern,Vihiga,Male,5,Pre-School,Autism,Rural,Integrated
Western,Machakos,Female,9,One,Hearing,Urban,Regular
North Eastern,Homa Bay,Male,9,One,Hearing,Urban,Regular
Nyanza,West Pokot,Male,7,Two,Physical,Urban,Regular
Eastern,Kisumu,Male,8,One,Hearing,Rural,Special
Rift Valley,Kirinyaga,Male,9,Two,Hearing,Urban,Regular
Nyanza,Tana River,Female,5,Pre-School,Visual,Urban,Regular
Western,Embu,Male,9,One,Physical,Urban,Special
Coast,Trans Nzoia,Male,10,One,Visual,Urban,Regular
Coast,Samburu,Male,7,Three,Hearing,Urban,Integrated
Nyanza,Nairobi,Male,6,Three,Physical,Rural,Integrated
Rift Valley,Kisumu,Male,7,Three,Visual,Rural,Regular
North Eastern,Uasin Gishu,Male,7,Three,Physical,Rural,Regular
North Eastern,Embu,Female,9,Two,Hearing,Urban,Regular
Nyanza,Kajiado,Female,6,Two,Hearing,Urban,Regular
Rift Valley,Makueni,Female,8,One,Visual,Urban,Integrated
Central,Bomet,Female,9,Three,Hearing,Urban,Special
Western,Marsabit,Female,9,Two,Visual,Urban,Integrated
Central,Mandera,Female,6,Two,Hearing,Urban,Integrated
Central,Vihiga,Female,10,One,Hearing,Rural,Integrated
Nairobi,Lamu,Male,9,Three,Visual,Urban,Regular
Eastern,Kajiado,Female,9,Three,Visual,Urban,Integrated
Coast,Narok,Male,5,Pre-School,Hearing,Rural,Regular
Western,Nyamira,Female,9,Three,Hearing,Rural,Regular
Central,Mombasa,Female,5,Pre-School,Autism,Rural,Regular
Central,Bomet,Female,7,One,Visual,Urban,Integrated
Rift Valley,Machakos,Female,8,Three,Visual,Urban,Integrated
Rift Valley,Kilifi,Female,8,Two,Physical,Urban,Integrated
Western,Kilifi,Male,10,Three,Hearing,Urban,Regular
Nairobi,Migori,Male,6,Three,Visual,Urban,Integrated
Eastern,Taita Taveta,Female,5,Pre-School,Physical,Rural,Integrated
Central,Murang'a,Female,6,Two,Physical,Urban,Regular
Coast,Kakamega,Female,8,One,Autism,Rural,Regular
Eastern,Kakamega,Male,7,Two,Hearing,Urban,Regular
Eastern,Migori,Female,10,One,Visual,Urban,Integrated
North Eastern,Meru,Female,6,Two,Physical,Urban,Integrated
Eastern,Nyeri,Female,6,One,Autism,Urban,Regular
Nyanza,Nandi,Female,7,Three,Autism,Rural,Regular
Nairobi,Laikipia,Female,8,Three,Physical,Urban,Integrated
Western,Busia,Female,9,Two,Physical,Rural,Regular
Rift Valley,Kiambu,Female,8,Three,Hearing,Urban,Integrated
Western,Kakamega,Female,9,One,Autism,Urban,Regular
North Eastern,Kericho,Female,6,One,Autism,Urban,Regular
Nyanza,Nairobi,Female,5,Pre-School,Physical,Urban,Regular
Nairobi,Vihiga,Female,9,One,Hearing,Rural,Integrated
Nairobi,Trans Nzoia,Male,6,Two,Hearing,Urban,Regular
Nyanza,Lamu,Female,7,Three,Visual,Urban,Regular
Rift Valley,Murang'a,Female,6,Two,Visual,Urban,Regular
Rift Valley,Bomet,Female,9,One,Visual,Urban,Integrated
Western,Laikipia,Female,8,Three,Hearing,Urban,Regular
Nairobi,Machakos,Male,10,Two,Visual,Urban,Regular
Central,Embu,Female,10,One,Hearing,Rural,Regular
Central,Murang'a,Male,10,Three,Hearing,Urban,Regular
Eastern,West Pokot,Female,6,Two,Hearing,Urban,Integrated
Western,Kajiado,Male,5,Pre-School,Visual,Urban,Regular
Eastern,Embu,Female,9,Three,Physical,Rural,Special
Rift Valley,Kisumu,Female,5,Pre-School,Physical,Urban,Regular
Nyanza,Bomet,Male,7,Two,Autism,Urban,Integrated
Nyanza,Tana River,Male,6,One,Hearing,Urban,Regular
Rift Valley,Kiambu,Male,5,Pre-School,Physical,Rural,Regular
Eastern,Tana River,Male,9,Two,Physical,Urban,Regular
Nairobi,Siaya,Female,10,Three,Visual,Urban,Regular
Central,Tana River,Female,10,One,Visual,Urban,Special
Coast,Kiambu,Female,10,Three,Visual,Urban,Regular
Nairobi,Kiambu,Female,5,Pre-School,Hearing,Urban,Regular
North Eastern,Tana River,Male,7,One,Hearing,Urban,Integrated
Eastern,West Pokot,Female,10,Three,Visual,Urban,Regular
Coast,Kiambu,Male,7,Two,Physical,Urban,Regular
Western,Migori,Female,10,Three,Visual,Urban,Regular
Nairobi,Murang'a,Male,6,Two,Autism,Rural,Regular
Western,Kiambu,Female,6,Three,Visual,Urban,Integrated
North Eastern,Kakamega,Male,7,Two,Physical,Rural,Regular
Rift Valley,Mandera,Male,6,Two,Visual,Urban,Integrated
Central,Meru,Female,10,Three,Visual,Urban,Integrated
North Eastern,Siaya,Female,6,One,Visual,Urban,Integrated
Nairobi,Trans Nzoia,Female,10,Three,Visual,Urban,Integrated
Eastern,Isiolo,Male,10,One,Hearing,Urban,Regular
Nairobi,Baringo,Male,8,Two,Hearing,Urban,Regular
Coast,Baringo,Female,5,Pre-School,Physical,Urban,Integrated
Nairobi,Uasin Gishu,Female,9,One,Physical,Urban,Regular
Central,Kilifi,Female,10,Three,Hearing,Urban,Regular
Central,Busia,Male,9,One,Physical,Urban,Regular
North Eastern,Nyeri,Female,5,Pre-School,Hearing,Urban,Regular
Western,Turkana,Female,5,Pre-School,Hearing,Urban,Integrated
Rift Valley,Nyeri,Male,10,One,Visual,Rural,Regular
Rift Valley,Siaya,Female,8,Three,Physical,Rural,Integrated
Eastern,Taita Taveta,Female,10,Two,Hearing,Urban,Regular
Nyanza,Isiolo,Male,5,Pre-School,Physical,Urban,Regular
North Eastern,Kisumu,Male,7,Three,Physical,Urban,Integrated
North Eastern,Turkana,Female,9,Three,Autism,Rural,Regular
Eastern,Kirinyaga,Male,6,One,Hearing,Urban,Integrated
Nairobi,Nakuru,Female,10,One,Visual,Urban,Regular
Western,Tana River,Female,8,Two,Physical,Urban,Integrated
North Eastern,Siaya,Female,10,Three,Visual,Urban,Integrated
Eastern,Bungoma,Male,5,Pre-School,Autism,Urban,Regular
North Eastern,Tharaka Nithi,Female,8,One,Physical,Urban,Integrated
Eastern,Embu,Female,9,Two,Hearing,Urban,Regular
Coast,Lamu,Female,6,Two,Physical,Rural,Regular
Rift Valley,Uasin Gishu,Male,10,Three,Physical,Urban,Regular
Central,West Pokot,Female,8,One,Physical,Urban,Regular
Western,Kwale,Male,8,Three,Physical,Urban,Integrated
Central,Homa Bay,Female,7,Three,Hearing,Urban,Regular
Nyanza,Kisumu,Male,6,Three,Physical,Rural,Integrated
Western,Narok,Female,6,Two,Hearing,Rural,Regular
Western,Makueni,Female,5,Pre-School,Physical,Urban,Regular
Western,Siaya,Male,6,Two,Visual,Urban,Integrated
Nyanza,Garissa,Female,5,Pre-School,Visual,Rural,Regular
Central,Wajir,Female,10,One,Hearing,Rural,Integrated
Nairobi,Meru,Female,7,Three,Hearing,Urban,Integrated
Coast,Marsabit,Female,5,Pre-School,Physical,Rural,Regular
Central,Isiolo,Female,6,Two,Hearing,Urban,Integrated
Western,Marsabit,Male,7,One,Hearing,Urban,Regular
North Eastern,Wajir,Male,10,Two,Physical,Urban,Integrated
North Eastern,Kitui,Female,6,Three,Physical,Urban,Integrated
Eastern,Isiolo,Female,6,Two,Physical,Rural,Regular
Western,Meru,Male,5,Pre-School,Autism,Rural,Regular
Rift Valley,Elgeyo Marakwet,Male,6,Two,Visual,Urban,Regular
Coast,Siaya,Male,7,Two,Physical,Rural,Regular
Central,Nyandarua,Female,7,One,Visual,Urban,Integrated
North Eastern,Narok,Female,9,Three,Autism,Urban,Integrated
Coast,Nairobi,Male,10,One,Hearing,Urban,Integrated
Rift Valley,Isiolo,Male,9,Two,Hearing,Urban,Regular
Nairobi,Tharaka Nithi,Male,7,Two,Hearing,Urban,Integrated
Nairobi,Murang'a,Male,6,Three,Visual,Urban,Integrated
Western,Baringo,Male,5,Pre-School,Physical,Urban,Special
Nairobi,Mombasa,Male,6,One,Hearing,Urban,Integrated
Western,Elgeyo Marakwet,Female,7,Three,Physical,Urban,Regular
Western,Marsabit,Female,6,Three,Hearing,Rural,Integrated
Nairobi,Murang'a,Female,6,One,Visual,Urban,Regular
Nyanza,Nyeri,Female,7,Three,Visual,Urban,Regular
Coast,Samburu,Female,6,Two,Hearing,Rural,Regular
Western,Machakos,Male,9,Three,Visual,Urban,Integrated
Central,Kajiado,Female,7,Two,Physical,Urban,Integrated
Eastern,Tana River,Male,8,Three,Visual,Urban,Regular
Rift Valley,Nyamira,Male,5,Pre-School,Hearing,Urban,Special
Nairobi,Nyeri,Male,7,Two,Visual,Rural,Regular
Eastern,Migori,Female,6,One,Visual,Urban,Regular
North Eastern,Kakamega,Male,8,Two,Physical,Urban,Integrated
Central,Bungoma,Female,6,One,Physical,Rural,Regular
Nairobi,Murang'a,Female,6,Three,Visual,Urban,Special
Nairobi,Vihiga,Male,10,One,Hearing,Urban,Regular
Coast,Makueni,Male,8,One,Physical,Urban,Integrated
North Eastern,Elgeyo Marakwet,Male,7,Three,Visual,Urban,Integrated
Rift Valley,Kiambu,Female,5,Pre-School,Physical,Urban,Regular
Eastern,Nakuru,Male,9,Three,Physical,Urban,Integrated
Rift Valley,Nyeri,Female,5,Pre-School,Visual,Urban,Special
Nairobi,Bungoma,Female,8,Two,Physical,Rural,Regular
Nairobi,Nakuru,Male,9,Two,Physical,Urban,Regular
Eastern,Kericho,Female,6,Three,Visual,Urban,Regular
Western,Turkana,Female,5,Pre-School,Hearing,Rural,Regular
Western,Kilifi,Female,10,Two,Hearing,Rural,Regular
Nairobi,Kwale,Female,9,Two,Hearing,Urban,Regular
Nairobi,Trans Nzoia,Male,9,Three,Physical,Urban,Integrated
Coast,Vihiga,Female,6,Two,Visual,Urban,Special
Coast,Kisii,Male,9,One,Visual,Rural,Integrated
Nyanza,Kirinyaga,Male,8,Three,Physical,Urban,Regular
Nairobi,Siaya,Female,5,Pre-School,Physical,Urban,Integrated
North Eastern,Kisii,Male,10,Three,Visual,Urban,Regular
Central,Laikipia,Female,9,One,Autism,Urban,Regular
Rift Valley,Elgeyo Marakwet,Male,6,Three,Hearing,Rural,Integrated
North Eastern,Mandera,Female,7,One,Visual,Urban,Regular
Central,Machakos,Male,6,One,Hearing,Urban,Integrated
Nairobi,Makueni,Female,5,Pre-School,Hearing,Urban,Regular
North Eastern,Tharaka Nithi,Female,9,Two,Visual,Rural,Integrated
Eastern,Mombasa,Female,8,Two,Visual,Urban,Regular
Eastern,Taita Taveta,Male,5,Pre-School,Hearing,Urban,Special
Western,Kilifi,Female,8,Two,Hearing,Urban,Integrated
Rift Valley,Laikipia,Female,10,One,Hearing,Urban,Integrated
Eastern,Tharaka Nithi,Male,8,Two,Hearing,Rural,Regular
Coast,Samburu,Female,7,One,Physical,Urban,Integrated
Central,Nyamira,Male,10,Two,Physical,Urban,Integrated
Nairobi,Kakamega,Male,5,Pre-School,Physical,Rural,Integrated
Nyanza,Migori,Female,6,One,Visual,Urban,Special
Western,Murang'a,Female,10,Three,Physical,Urban,Special
Central,Taita Taveta,Male,7,Three,Physical,Urban,Regular
North Eastern,Elgeyo Marakwet,Male,6,Three,Visual,Urban,Integrated
Rift Valley,Bungoma,Female,9,One,Physical,Rural,Regular
Nyanza,Machakos,Male,7,One,Hearing,Urban,Special
Rift Valley,Embu,Female,8,One,Hearing,Urban,Regular
Coast,Narok,Male,6,Two,Physical,Urban,Regular
Nairobi,Busia,Female,7,Two,Physical,Urban,Integrated
Eastern,Nakuru,Male,5,Pre-School,Visual,Rural,Integrated
Rift Valley,West Pokot,Female,6,Two,Visual,Rural,Integrated
Nyanza,Turkana,Female,9,Three,Hearing,Urban,Integrated
North Eastern,Vihiga,Male,7,Two,Autism,Rural,Special
Rift Valley,Garissa,Male,8,Three,Hearing,Urban,Regular
Coast,Bomet,Female,6,Two,Physical,Urban,Regular
Eastern,Mombasa,Male,10,Three,Hearing,Urban,Regular
North Eastern,Homa Bay,Female,5,Pre-School,Physical,Urban,Regular
Eastern,Baringo,Female,5,Pre-School,Physical,Urban,Integrated
Coast,Siaya,Female,10,One,Visual,Urban,Regular
Central,Narok,Male,9,Two,Autism,Rural,Integrated
